Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10021,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10021,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,381,0.21,7/1/22,6/30/24
10021,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,391,0.27,7/1/22,6/30/24
10021,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,27,2.33,7/1/22,6/30/24
10021,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10021,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,26,16.47,7/1/22,6/30/24
10021,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,27,3.47,7/1/22,6/30/24
10021,PSI_13,Postoperative sepsis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10021,PSI_14,Postoperative wound dehiscence rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10021,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,35,1.04,7/1/22,6/30/24
10021,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.16,7/1/22,6/30/24
10022,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,4/1/21,3/31/24
10022,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,40,4.2,7/1/23,6/30/24
10022,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10022,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10022,MORT_30_COPD,Death rate for COPD patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10022,MORT_30_HF,Death rate for heart failure patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10022,MORT_30_PN,Death rate for pneumonia patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10022,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10022,PSI_03,Pressure ulcer rate,No Different Than the National Rate,237,0.6,7/1/22,6/30/24
10022,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,276,0.21,7/1/22,6/30/24
10022,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,278,0.27,7/1/22,6/30/24
10022,PSI_09,Postoperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10022,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
